stop_lat,stop_lon,stop_id
34.08386,-84.294755,5861
34.082292,-84.294607,5862
34.080401,-84.29444,5863
34.078152,-84.294291,5864
34.076201,-84.294288,5865
34.090788,-84.292399,5866
34.090721,-84.293124,5896
34.082476,-84.295051,5897
34.088114,-84.270253,30
34.087265,-84.266012,42
34.088733,-84.257695,54
34.088603,-84.257107,65
33.754809,-84.421186,90
34.08083,-84.25948,91
34.078413,-84.260238,92
34.078163,-84.260696,93
34.076401,-84.260458,94
33.748929,-84.404936,129
34.090815,-84.27003,130
34.092278,-84.276484,133
34.09459,-84.277967,138
34.092248,-84.284312,139
34.092137,-84.288496,140
34.091927,-84.288615,141
34.089933,-84.269247,142
34.09337,-84.270926,143
34.09548,-84.267954,144
34.093963,-84.279531,145
34.06256,-84.24747,146
34.092039,-84.285415,170
34.088795,-84.29524,172
34.064694,-84.253908,181
34.06235,-84.2544,183
34.061248,-84.252481,184
34.061439,-84.244415,202
34.064854,-84.253526,203
34.066705,-84.258072,204
34.085357,-84.257443,205
34.087517,-84.269008,206
34.06095,-84.242611,210
34.093579,-84.278328,216
34.085992,-84.260559,217
34.081,-84.261262,218
34.087024,-84.265427,219
34.097509,-84.264371,220
34.046329,-84.339584,1874
34.049772,-84.337806,1876
34.051866,-84.334413,1885
34.054226,-84.330254,1888
34.055115,-84.329132,1894
34.058438,-84.326409,1896
34.060832,-84.324602,1905
34.062747,-84.322976,1910
34.065852,-84.31873,1911
34.066263,-84.316296,1912
34.066277,-84.313118,1913
34.066383,-84.316063,1914
34.065865,-84.319,1915
34.06329,-84.322723,1916
34.061096,-84.324554,1917
34.057182,-84.327896,1918
34.055408,-84.329323,1919
34.053848,-84.331345,1920
34.050059,-84.337621,1921
34.066226,-84.309834,1922
34.066297,-84.304719,2226
34.067867,-84.301102,2227
34.07832,-84.294505,2228
34.06975,-84.298078,2229
34.046674,-84.290519,2234
34.046985,-84.290381,2235
34.0678,-84.301615,2236
34.069839,-84.29787,2237
34.056886,-84.286369,2238
34.063717,-84.291553,2239
34.066409,-84.292587,2240
34.068882,-84.293925,2241
34.066134,-84.293113,2242
34.063449,-84.291782,2243
34.061653,-84.29047,2244
34.058564,-84.326815,2245
34.061055,-84.289146,2246
34.075399,-84.292976,2247
34.057292,-84.28695,2248
34.047736,-84.288493,2249
34.051852,-84.285401,2250
34.058607,-84.287375,2251
34.04988,-84.283285,2252
34.049247,-84.283975,2253
34.049964,-84.285986,2254
34.05462,-84.274303,2255
34.054726,-84.277286,2256
34.049836,-84.281438,2257
34.050454,-84.280754,2258
34.051814,-84.279206,2259
34.051938,-84.279652,2260
34.054964,-84.271753,2510
34.065942,-84.262005,2511
34.071018,-84.256571,2512
34.069323,-84.260289,2513
34.074524,-84.258205,2514
34.071684,-84.256765,2515
34.07454,-84.258895,2516
34.06661,-84.262158,2517
34.068411,-84.260748,2518
34.01968,-84.361641,2868
34.024141,-84.360722,2869
34.026264,-84.359505,2870
34.029003,-84.356476,2871
34.03132,-84.352794,2872
34.032179,-84.351299,2873
34.034595,-84.346985,2874
34.031257,-84.353143,2875
34.029726,-84.355608,2876
34.028401,-84.357669,2877
34.026137,-84.359828,2878
34.024697,-84.36072,2879
34.016864,-84.362649,2880
34.020179,-84.36188,2881
34.021609,-84.361604,2882
33.524877,-84.664778,2883
34.030607,-84.353944,2884
34.042802,-84.335055,2888
34.042724,-84.339458,2889
34.042573,-84.329835,2890
34.041203,-84.324064,2891
34.040153,-84.31857,2892
34.040324,-84.319267,2893
34.042695,-84.329196,2894
34.042829,-84.338711,2895
34.035876,-84.342867,2896
34.034755,-84.34199,2897
34.032912,-84.341335,2898
34.032943,-84.34081,2899
34.031756,-84.339365,2900
