stop_name,stop_lat,stop_lon,stop_id
PRYOR ST SW@MEMORIAL DR SW,33.747202,-84.39437,153
PRYOR ST SW @ GARNETT ST SW,33.748089,-84.393686,154
PRYOR ST SW @ TRINITY AVE SW,33.74945,-84.392775,155
PRYOR ST @ MARTIN L KING JR DR,33.751593,-84.391066,156
DECATUR ST SE @ PEACHTREE CENTER AVE,33.753105,-84.38757,157
DECATUR ST SE @ COLLINS ST SE,33.7523,-84.386449,158
DECATUR ST @ PIEDMONT AVE,33.75143,-84.384945,159
PRYOR ST SW@ALICE ST SW,33.742933,-84.39454,160
PRYOR ST SW@FULTON ST SW,33.74202,-84.39455,161
CENTRAL AVE SW @ ALICE ST SW,33.742935,-84.393322,162
CENTRAL AVE SW@PULLIAM ST SW,33.747414,-84.392334,163
CENTRAL AVE SW @ MITCHELL ST SW,33.749512,-84.390693,164
MARTIN LUTHER KING J DR SW @ PRYOR ST,33.75141,-84.39075,165
FORSYTH ST SW @ TRINITY AVE SW,33.750585,-84.395177,166
TRINITY AVE SW @ TED TURNER DR SW,33.750513,-84.396264,167
WINDSOR ST SW@EUGENIA ST SW,33.743068,-84.398382,168
WINDSOR ST SW@FULTON ST SW,33.74199,-84.39838,169
N MAIN ST @ HENDERSON PKWY,34.092039,-84.285415,170
AUBURN AVE NE @ PIEDMONT AVE NE,33.755507,-84.382255,171
N MAIN ST @ CANTON ST,34.088795,-84.29524,172
MITCHELL ST SW @ PRYOR ST SW,33.750329,-84.392066,173
MARTIN L KING J DR @ COURTLAND ST,33.750043,-84.388393,174
MARTIN L KING JR DR @ PEACHTREE ST,33.751939,-84.39183,175
DECATUR ST SE @ PIEDMONT AVE SE,33.75154,-84.385666,176
DECATUR ST SE @ BELL ST SE,33.749797,-84.380316,177
DECATUR ST SE @ JESSE HILL JR DR SE,33.7506,-84.384285,178
DECATUR ST SE @ PRATT ST SE,33.749894,-84.382914,179
EDGEWOOD AVE SE @ COURTLAND ST SE,33.754539,-84.38419,180
OLD MILTON PKWY @ BROOKSIDE PKY,34.064694,-84.253908,181
EDGEWOOD AVE @ PEACHTREE CENTER AVE,33.754513,-84.386169,182
BROOKSIDE PKWY @ 3705,34.06235,-84.2544,183
BROOKSIDE PKWY @ 3775,34.061248,-84.252481,184
WINDSOR ST SW @ EUGENIA ST SW,33.743098,-84.398064,185
WINDSOR ST SW @ FULTON ST SW,33.74169,-84.39812,186
MARIETTA ST NW @ BROAD ST (FIVE POINTS STATION),33.754992,-84.390659,187
DECATUR ST @ KIMBALL WAY,33.753597,-84.388581,188
ALABAMA ST @ PEACHTREE ST (FIVE POINTS STATION),33.753183,-84.391353,189
HANK AARON DR SE @ FULTON ST SE,33.7416,-84.387733,190
CAPITOL AVE @ MEMORIAL DR,33.746281,-84.387703,191
MITCHELL ST SW @ CENTRAL AVE SW,33.74963,-84.390687,192
ALABAMA ST @ FORSYTH ST (FIVE POINTS STATION),33.753809,-84.392419,193
DECATUR ST SE @ COLLINS ST SE,33.752282,-84.386602,194
FORSYTH ST @ ALABAMA ST (FIVE POINTS STATION),33.754015,-84.392419,195
FORSYTH ST @ ALABAMA ST (FIVE POINTS STATION),33.753944,-84.392626,196
FORSYTH ST @ MARTIN L KING JR DR,33.752547,-84.393592,197
FORSYTH ST SW @ MITCHELL ST SW,33.751571,-84.394319,198
AUBURN AVE @ EQUITABLE PL NE,33.755584,-84.387626,199
PEACHTREE ST @ DECATUR ST,33.754203,-84.389813,200
PEACHTREE ST NE @ EDGEWOOD AVE SE,33.754637,-84.389637,201
OLD MILTON PKWY @ ROCKBERRY LN,34.061439,-84.244415,202
OLD MILTON PKWY @ COTTON CREEK ENTRY,34.064854,-84.253526,203
OLD MILTON PKWY @ 3502,34.066705,-84.258072,204
NORTH POINT PKY @ 500,34.085357,-84.257443,205
WINDWARD PKWY @ WESTSIDE PKWY,34.087517,-84.269008,206
MORRIS RD @ WEBB RD,34.096344,-84.260561,207
MORRIS RD@13010,34.094303,-84.262563,208
BELL ST SE @ PRATT ST SE,33.752715,-84.379623,209
DECATUR ST @ 263,33.749743,-84.381088,210
MITCHELL ST @ PEACHTREE ST,33.750915,-84.393191,211
OLD MILTON PKWY @ PARK BRIDGE PKWY,34.06095,-84.242611,212
WALL ST @ PRYOR ST,33.753229,-84.389211,213
PRYOR ST@RAWSON ST,33.744606,-84.39452,214
CENTRAL AVE@PULLIAM ST,33.743984,-84.393218,215
TED TURNER DR SW @ BROTHERTON ST SW,33.749164,-84.398123,216
AUBURN AVE @ COURTLAND ST,33.755524,-84.384017,217
WINDWARD PKWY @ N MAIN ST,34.093579,-84.278328,218
WINDWARD PARK & RIDE,34.085992,-84.260559,219
MORRIS RD @ 12395,34.081,-84.261262,220
WINDWARD PKWY @ 5555,34.087024,-84.265427,221
DEERFIELD PKWY @ WEBB RD,34.097509,-84.264371,222
MORRIS RD @ ONE VERIZON PL,34.091014,-84.266497,223
MEMORIAL DR SE @ CONNALLY ST SE,33.746896,-84.381347,224
MEMORIAL DR SE @ MARTIN ST SE,33.74694,-84.383749,225
MEMORIAL DR SE @ FRASER ST SE,33.746965,-84.386347,226
JACKSON ST SE @ LUCY ST,33.752351,-84.374122,227
JACKSON ST SE @ DECATUR ST SE,33.750722,-84.373631,228
AUBURN AVE NE @ JESSE HILL JR DR NE,33.755472,-84.379962,229
BOULEVARD NE @ OLD WHEAT ST NE,33.755851,-84.37208,230
HILL ST SE @ WOODWARD AVE SE,33.745528,-84.379248,231
MEMORIAL DR SE@POWELL ST SE,33.746697,-84.365607,232
MEMORIAL DR SE@BEREAN AVE SE,33.746697,-84.366531,233
MEMORIAL DR SE@CAMERON ST SE,33.746625,-84.365226,234
MEMORIAL DR SE@BOULEVARD SE,33.746812,-84.36802,235
MEMORIAL DR SE@BEREAN AVE SE,33.7466,-84.366961,236
MEMORIAL DR SE@BOULEVARD  SE,33.746669,-84.368139,237
MEMORIAL DR SE@PARK AVE SE,33.746686,-84.369716,238
DECATUR ST SE @ HILL ST,33.749681,-84.37974,239
MARIETTA ST NW @ FAIRLIE ST NW,33.755725,-84.391431,240
MARIETTA ST NW @ PEACHTREE ST,33.754393,-84.390071,241
DECATUR ST SE @ CENTRAL AVE SW,33.75306,-84.3877,242
AUBURN AVE NE @ HILLIARD ST NE,33.755447,-84.376613,243
MEMORIAL DR@ PARK AVE,33.746758,-84.37002,244
MEMORIAL DR SE @ HILL ST SE,33.746888,-84.379162,245
MEMORIAL DR @ GEORGE ST,33.746836,-84.375825,246
JACKSON ST SE @ TODD ST SE,33.751438,-84.373643,247
JACKSON ST SE @ GARTRELL ST SE,33.752798,-84.374187,248
JACKSON ST SE @ CHAMBERLAIN ST SE,33.753756,-84.374264,249
AUBURN AVE @ WILLIAM H BORDERS SR DR,33.755465,-84.375167,250
MEMORIAL DR @ GRANT ST SE,33.746729,-84.375944,251
GRANT ST @ MEMORIAL DR,33.747015,-84.376695,252
MEMORIAL DR@CHEROKEE AVE,33.746719,-84.373539,253
KING MEMORIAL STATION,33.749978,-84.375881,254
MORELAND AVE SE @ SANDERS AVE SE,33.741948,-84.349267,255
MORELAND AVE SE @ GLENWOOD AVE,33.740623,-84.349403,256
MEMORIAL DR SE@MORELAND AVE SE,33.747641,-84.348541,257
MEMORIAL DR SE@MORELAND AVE SE,33.74757,-84.348269,258
MEMORIAL DR SE@FLAT SHOALS AVE SE,33.747425,-84.350372,259
MEMORIAL DR SE@HOWELL DR SE,33.747238,-84.350682,260
MEMORIAL DR SE@WILBUR AVE SE,33.747028,-84.352554,261
MEMORIAL DR SE@WILBUR AVE SE,33.746651,-84.353043,262
MEMORIAL DR SE@STOVALL ST SE,33.746696,-84.354233,263
MEMORIAL DR SE@STOVALL ST SE,33.746346,-84.354568,264
MEMORIAL DR SE @ GIBSON ST SE,33.746467,-84.355378,265
MEMORIAL DR SE@HOLTZCLAW ST SE,33.746719,-84.356575,266
MEMORIAL DR SE @ BILL KENNEDY WAY SE,33.746645,-84.358023,267
